investor_id,transaction_date,amfi_code,transaction_type,amount_inr
INV000011,2024-01-03,120507,SIP,2230
INV001167,2024-01-03,102886,SIP,8419
INV000954,2024-01-03,148568,SIP,2224
INV002101,2024-01-03,102887,REDEMPTION,234810
INV000947,2024-01-03,101208,REDEMPTION,281989
INV004867,2024-01-03,100033,LUMPSUM,331777
INV004125,2024-01-03,100016,SIP,2999
INV001910,2024-01-03,102886,REDEMPTION,502057
INV001411,2024-01-03,102886,SIP,2998
INV003326,2024-01-03,125498,SIP,2712
INV004173,2024-01-03,120504,SIP,479
INV004867,2024-01-03,120506,SIP,3082
INV001454,2024-01-03,120843,SIP,554
INV003100,2024-01-04,149324,LUMPSUM,361700
INV000215,2024-01-04,120505,LUMPSUM,190843
INV003191,2024-01-04,119092,LUMPSUM,94475
INV003946,2024-01-04,120504,LUMPSUM,465127
INV000330,2024-01-04,119552,SIP,8747
INV004797,2024-01-04,125497,LUMPSUM,178854
INV000330,2024-01-04,120841,LUMPSUM,351770
INV001128,2024-01-04,120844,LUMPSUM,168521
INV002302,2024-01-04,125498,LUMPSUM,153713
INV002495,2024-01-04,118636,SIP,2727
INV002158,2024-01-04,120507,LUMPSUM,39096
INV000144,2024-01-04,120503,SIP,499
INV004563,2024-01-04,118634,LUMPSUM,38117
INV002912,2024-01-04,149323,REDEMPTION,520148
INV002343,2024-01-04,119093,SIP,1182
INV000091,2024-01-04,120504,SIP,2368
INV004688,2024-01-04,120505,LUMPSUM,168104
INV004321,2024-01-04,120843,SIP,1147
INV001579,2024-01-04,125498,SIP,40657
INV003705,2024-01-04,120506,SIP,57004
INV000544,2024-01-04,120507,LUMPSUM,295246
INV001997,2024-01-04,120505,SIP,908
INV003707,2024-01-04,120506,SIP,3527
INV000372,2024-01-04,148569,LUMPSUM,209421
INV001331,2024-01-04,120841,SIP,568
INV002033,2024-01-04,102885,SIP,8905
INV003953,2024-01-04,148569,SIP,58436
INV003500,2024-01-04,120505,SIP,2007
INV003240,2024-01-04,101206,SIP,6686
INV003040,2024-01-04,119598,LUMPSUM,468352
INV000663,2024-01-04,148568,SIP,558
INV003083,2024-01-04,125497,LUMPSUM,201815
INV004131,2024-01-04,101208,SIP,2343
INV001806,2024-01-04,102885,SIP,20256
INV001190,2024-01-04,118636,SIP,9909
INV004939,2024-01-04,118635,SIP,25211
INV004896,2024-01-04,148567,LUMPSUM,22023
INV004682,2024-01-04,120841,SIP,571
INV002891,2024-01-04,120842,SIP,2202
INV002400,2024-01-04,120506,SIP,11693
INV004138,2024-01-04,119094,SIP,827
INV003489,2024-01-04,149323,SIP,11426
INV004602,2024-01-04,120504,SIP,28337
INV004593,2024-01-04,120506,LUMPSUM,65501
INV003394,2024-01-04,149322,SIP,13339
INV002056,2024-01-04,119551,SIP,5980
INV004770,2024-01-04,125497,SIP,8263
INV002862,2024-01-04,119092,SIP,1123
INV003414,2024-01-04,149322,SIP,2730
INV000803,2024-01-04,120505,SIP,4906
INV004353,2024-01-04,120844,LUMPSUM,20266
INV001553,2024-01-04,120844,REDEMPTION,125745
INV003579,2024-01-04,119599,LUMPSUM,518933
INV003410,2024-01-04,149324,SIP,1826
INV003409,2024-01-04,125497,REDEMPTION,255163
INV002554,2024-01-04,102885,SIP,8997
INV004059,2024-01-04,120843,SIP,7638
INV000639,2024-01-04,149322,LUMPSUM,286253
INV002219,2024-01-04,120504,SIP,5981
INV002960,2024-01-04,119120,SIP,15426
INV003342,2024-01-04,100025,REDEMPTION,345140
INV002748,2024-01-04,119120,SIP,533
INV004880,2024-01-04,125497,SIP,6167
INV002436,2024-01-04,149322,SIP,5899
INV002659,2024-01-04,125497,REDEMPTION,218077
INV003196,2024-01-04,101207,SIP,2483
INV000874,2024-01-04,120844,SIP,1162
INV000386,2024-01-04,119093,SIP,57205
INV001536,2024-01-04,119598,SIP,1762
INV002642,2024-01-04,148568,SIP,911
INV004452,2024-01-05,149324,SIP,4901
INV003171,2024-01-05,120505,SIP,5100
INV000926,2024-01-05,120507,SIP,7278
INV001070,2024-01-05,120843,SIP,52410
INV004919,2024-01-05,100033,LUMPSUM,243656
INV002656,2024-01-05,118636,LUMPSUM,265566
INV003072,2024-01-05,119094,SIP,28652
INV003846,2024-01-05,102886,REDEMPTION,8986
INV004400,2024-01-05,120841,LUMPSUM,522907
INV003028,2024-01-05,100033,SIP,7663
INV004733,2024-01-05,149323,SIP,822
INV002610,2024-01-05,100016,SIP,4252
INV000476,2024-01-05,100033,SIP,47424
INV003516,2024-01-05,118635,LUMPSUM,363022
INV000181,2024-01-05,118633,SIP,8019
INV002225,2024-01-05,120844,SIP,2284
INV003251,2024-01-05,149324,LUMPSUM,341468
INV003193,2024-01-05,119599,SIP,4260
INV004998,2024-01-05,120844,LUMPSUM,295114
INV004981,2024-01-05,149323,SIP,7677
INV003075,2024-01-05,100025,SIP,8649
INV001651,2024-01-05,149323,SIP,6844
INV004478,2024-01-05,101206,REDEMPTION,308976
INV004743,2024-01-05,119092,SIP,15224
INV003198,2024-01-05,120843,SIP,46712
INV003076,2024-01-05,120507,REDEMPTION,197940
INV003427,2024-01-05,118633,REDEMPTION,193289
INV003505,2024-01-05,148568,REDEMPTION,13457
INV001811,2024-01-05,119552,LUMPSUM,48636
INV000762,2024-01-05,101208,LUMPSUM,141489
INV001930,2024-01-05,125497,SIP,1092
INV000535,2024-01-05,118636,SIP,26387
INV000642,2024-01-05,119092,REDEMPTION,413094
INV003641,2024-01-05,120505,SIP,6819
INV001027,2024-01-05,119552,REDEMPTION,347503
INV000058,2024-01-05,120841,LUMPSUM,248336
INV004257,2024-01-05,119094,REDEMPTION,301471
INV004889,2024-01-05,149323,LUMPSUM,330076
INV003063,2024-01-05,148569,SIP,869
INV001269,2024-01-05,100033,LUMPSUM,432672
INV003937,2024-01-05,102885,LUMPSUM,451983
INV000786,2024-01-05,119095,SIP,1199
INV002567,2024-01-05,120842,SIP,9018
INV004992,2024-01-05,101208,SIP,434
INV001636,2024-01-05,119094,SIP,8674
INV004902,2024-01-05,119552,LUMPSUM,25230
INV002947,2024-01-05,148569,SIP,8881
INV003795,2024-01-05,101208,SIP,4746
INV003216,2024-01-05,119551,LUMPSUM,59528
INV001629,2024-01-05,118634,LUMPSUM,26213
INV002611,2024-01-05,120507,REDEMPTION,373343
INV004340,2024-01-05,102885,REDEMPTION,151645
INV004096,2024-01-05,101207,SIP,44821
INV004291,2024-01-05,149323,REDEMPTION,402785
INV002154,2024-01-05,149324,REDEMPTION,188124
INV004414,2024-01-05,118635,REDEMPTION,294110
INV000854,2024-01-05,119093,SIP,2770
INV001295,2024-01-05,119120,SIP,6736
INV000461,2024-01-05,125498,SIP,10676
INV000065,2024-01-05,149322,REDEMPTION,89612
INV003211,2024-01-05,101206,LUMPSUM,405816
INV002530,2024-01-05,119093,SIP,13177
INV004472,2024-01-05,120843,LUMPSUM,331877
INV000791,2024-01-05,119598,SIP,13272
INV000797,2024-01-05,118636,REDEMPTION,372649
INV003744,2024-01-06,118632,LUMPSUM,123594
INV001492,2024-01-06,119552,SIP,2167
INV002796,2024-01-06,101207,LUMPSUM,115644
INV001304,2024-01-06,125497,SIP,5514
INV003998,2024-01-06,101208,SIP,11973
INV001058,2024-01-06,119598,LUMPSUM,33691
INV003636,2024-01-06,119552,SIP,2299
INV001630,2024-01-06,119093,SIP,27077
INV003991,2024-01-06,120504,SIP,3089
INV000668,2024-01-06,101207,SIP,2570
INV001848,2024-01-06,148569,SIP,16080
INV003876,2024-01-06,100033,REDEMPTION,237658
INV003022,2024-01-06,101207,LUMPSUM,445481
INV002250,2024-01-06,102887,LUMPSUM,554938
INV004594,2024-01-06,149322,LUMPSUM,119338
INV001283,2024-01-06,119599,LUMPSUM,33527
INV002835,2024-01-06,149322,SIP,5894
INV002776,2024-01-06,101207,SIP,989
INV003143,2024-01-06,120843,LUMPSUM,249341
INV003696,2024-01-06,120504,LUMPSUM,401559
INV000783,2024-01-06,148569,LUMPSUM,60606
INV000783,2024-01-06,100033,LUMPSUM,330093
INV003060,2024-01-06,120507,SIP,10941
INV000974,2024-01-06,120506,SIP,6150
INV000126,2024-01-06,101207,LUMPSUM,151709
INV004134,2024-01-06,148569,SIP,3144
INV001131,2024-01-06,120505,LUMPSUM,513257
INV004811,2024-01-06,120841,REDEMPTION,39649
INV003691,2024-01-06,118632,SIP,1128
INV001902,2024-01-06,120843,SIP,2179
INV004230,2024-01-06,120841,LUMPSUM,31627
INV001923,2024-01-06,102886,SIP,1042
INV002658,2024-01-06,120503,LUMPSUM,41413
INV001953,2024-01-06,101208,LUMPSUM,420171
INV002565,2024-01-06,119599,LUMPSUM,63809
INV001770,2024-01-06,118636,LUMPSUM,138095
INV000960,2024-01-06,120507,SIP,12641
INV001924,2024-01-06,125497,SIP,2361
INV003097,2024-01-06,120842,SIP,9469
INV000166,2024-01-06,149324,SIP,2824
INV001870,2024-01-06,118636,SIP,57785
INV004329,2024-01-06,102886,SIP,2439
INV004832,2024-01-06,119551,REDEMPTION,359828
INV001043,2024-01-06,149324,SIP,3166
INV001656,2024-01-06,119120,REDEMPTION,357463
INV004412,2024-01-06,148568,SIP,2615
INV003040,2024-01-06,148568,SIP,1616
INV002034,2024-01-06,120842,SIP,28965
INV004185,2024-01-06,118633,SIP,2625
INV000182,2024-01-06,120842,REDEMPTION,309923
INV004497,2024-01-06,119120,SIP,42251
INV000163,2024-01-06,100033,SIP,26952
INV003894,2024-01-06,119552,LUMPSUM,404974
INV001720,2024-01-06,119094,REDEMPTION,197973
INV000104,2024-01-06,149322,SIP,29462
INV002548,2024-01-06,118632,SIP,59410
INV002329,2024-01-06,120842,SIP,8132
INV003070,2024-01-06,119092,SIP,26490
INV003564,2024-01-06,148569,SIP,53136
INV000408,2024-01-07,120843,REDEMPTION,118820
INV000231,2024-01-07,119095,REDEMPTION,221924
INV000091,2024-01-07,101208,SIP,8317
INV001735,2024-01-07,119552,SIP,16939
INV000894,2024-01-07,100033,REDEMPTION,219820
INV000962,2024-01-07,120842,LUMPSUM,422124
INV001723,2024-01-07,119094,SIP,6112
INV003085,2024-01-07,119092,REDEMPTION,181536
INV003325,2024-01-07,101206,SIP,2768
INV004132,2024-01-07,119094,LUMPSUM,263193
INV003322,2024-01-07,120506,SIP,4204
INV004841,2024-01-07,101207,SIP,592
INV004119,2024-01-07,119551,REDEMPTION,376569
INV001476,2024-01-07,119092,SIP,10756
INV000667,2024-01-07,101208,LUMPSUM,390649
INV001689,2024-01-07,120505,LUMPSUM,473543
INV003422,2024-01-07,119598,SIP,17031
INV002471,2024-01-07,120844,SIP,1126
INV001274,2024-01-07,119092,LUMPSUM,136990
INV004336,2024-01-07,120842,LUMPSUM,117691
INV001036,2024-01-07,149323,SIP,2621
INV001363,2024-01-07,118632,SIP,58920
INV000339,2024-01-07,120843,LUMPSUM,133844
INV003377,2024-01-07,148567,LUMPSUM,275934
INV002732,2024-01-07,120843,SIP,1047
INV000766,2024-01-07,148568,SIP,7948
INV004894,2024-01-07,120506,SIP,2960
INV000308,2024-01-07,119095,REDEMPTION,15648
INV000307,2024-01-07,149323,LUMPSUM,81645
INV004258,2024-01-07,119552,REDEMPTION,57695
INV003343,2024-01-07,119095,REDEMPTION,96619
INV004639,2024-01-07,101208,REDEMPTION,396767
INV001491,2024-01-07,149322,SIP,4575
INV001006,2024-01-07,101208,SIP,2104
INV000288,2024-01-07,118634,SIP,55146
INV003054,2024-01-07,120843,SIP,6158
INV004349,2024-01-07,119092,LUMPSUM,416883
INV003341,2024-01-07,149322,LUMPSUM,76277
INV004754,2024-01-07,119552,SIP,4842
INV002870,2024-01-07,125498,LUMPSUM,423490
INV003411,2024-01-07,149324,SIP,2954
INV000155,2024-01-07,120506,REDEMPTION,230658
INV000855,2024-01-07,101206,SIP,490
INV004185,2024-01-07,101206,SIP,2462
INV002834,2024-01-07,120841,REDEMPTION,368938
INV004498,2024-01-07,119120,REDEMPTION,253111
INV004008,2024-01-07,101208,SIP,471
INV001602,2024-01-07,100016,SIP,17107
INV003319,2024-01-07,102886,SIP,4604
INV001447,2024-01-07,120841,REDEMPTION,75406
INV002599,2024-01-07,149322,SIP,2827
INV000032,2024-01-07,119120,REDEMPTION,291165
INV002505,2024-01-07,120841,SIP,8163
INV000583,2024-01-07,119092,REDEMPTION,344315
INV000476,2024-01-07,120505,SIP,9845
INV004427,2024-01-07,100016,SIP,12756
INV000540,2024-01-07,120843,REDEMPTION,410824
INV001961,2024-01-07,120503,SIP,2278
INV003279,2024-01-07,119120,SIP,14432
INV002329,2024-01-07,120842,SIP,26835
INV000542,2024-01-07,118632,SIP,2033
INV004576,2024-01-07,148569,REDEMPTION,200234
INV001311,2024-01-07,102887,SIP,553
INV001327,2024-01-07,120842,SIP,5741
INV002361,2024-01-08,101207,SIP,42978
INV004088,2024-01-08,118636,LUMPSUM,225281
INV001581,2024-01-08,100025,LUMPSUM,194939
INV004493,2024-01-08,119599,REDEMPTION,115716
INV000309,2024-01-08,125498,SIP,2302
INV001696,2024-01-08,120507,SIP,2285
INV002847,2024-01-08,120841,REDEMPTION,255648
INV000074,2024-01-08,148567,SIP,2005
INV004714,2024-01-08,100033,LUMPSUM,337687
INV003294,2024-01-08,118634,REDEMPTION,249450
INV004450,2024-01-08,100016,SIP,55566
INV003232,2024-01-08,120842,REDEMPTION,423309
INV001122,2024-01-08,148568,SIP,16130
INV004647,2024-01-08,100025,LUMPSUM,218815
INV001333,2024-01-08,100016,SIP,803
INV001220,2024-01-08,119095,SIP,570
INV004226,2024-01-08,118633,REDEMPTION,88746
INV000081,2024-01-08,119095,LUMPSUM,283811
INV001021,2024-01-08,119093,SIP,20743
INV000583,2024-01-08,120507,LUMPSUM,278514
INV002679,2024-01-08,118636,LUMPSUM,334718
INV003342,2024-01-08,119552,REDEMPTION,189489
INV002361,2024-01-08,102885,SIP,5081
INV001605,2024-01-08,120506,SIP,55254
INV002796,2024-01-08,101207,SIP,917
INV000759,2024-01-08,148567,SIP,438
INV002932,2024-01-08,118634,SIP,2386
INV000825,2024-01-08,125497,LUMPSUM,342462
INV000684,2024-01-08,120842,REDEMPTION,117757
INV001407,2024-01-08,149323,SIP,17925
INV000683,2024-01-08,148567,SIP,2362
INV000399,2024-01-08,119094,SIP,1159
INV002232,2024-01-08,119552,SIP,17948
INV002549,2024-01-08,120506,SIP,1195
INV003536,2024-01-08,118632,SIP,17568
INV001697,2024-01-08,120507,SIP,48897
INV001011,2024-01-08,100033,SIP,2227
INV001109,2024-01-08,102885,SIP,1652
INV003978,2024-01-08,101207,SIP,25496
INV001747,2024-01-08,101207,LUMPSUM,394469
INV004285,2024-01-08,120843,LUMPSUM,154122
INV003161,2024-01-08,119599,LUMPSUM,341506
INV001111,2024-01-08,101206,REDEMPTION,150718
INV000567,2024-01-08,120843,LUMPSUM,329312
INV003713,2024-01-08,119551,SIP,2267
INV003902,2024-01-08,118636,REDEMPTION,357460
INV000156,2024-01-08,125497,SIP,3302
INV000260,2024-01-08,149322,SIP,2582
INV001916,2024-01-08,100033,SIP,2612
INV003473,2024-01-08,120843,SIP,1197
INV003136,2024-01-08,125497,LUMPSUM,21407
INV001385,2024-01-08,119092,SIP,2097
INV004833,2024-01-08,118635,LUMPSUM,351348
INV004983,2024-01-08,148569,REDEMPTION,170231
INV004887,2024-01-08,120503,LUMPSUM,4541
INV004946,2024-01-08,120841,REDEMPTION,186769
INV004609,2024-01-08,149322,LUMPSUM,54390
INV004609,2024-01-08,120506,SIP,3263
INV002754,2024-01-08,120504,SIP,17836
INV003398,2024-01-08,149323,LUMPSUM,325398
INV004774,2024-01-08,120843,LUMPSUM,357780
INV002951,2024-01-08,102886,LUMPSUM,28656
INV002523,2024-01-08,118634,LUMPSUM,283929
INV003957,2024-01-08,120841,SIP,4104
INV000833,2024-01-08,100025,SIP,2520
INV004178,2024-01-08,120506,SIP,1991
INV003133,2024-01-08,102886,LUMPSUM,316291
INV000138,2024-01-09,119092,LUMPSUM,183948
INV001105,2024-01-09,101206,LUMPSUM,310210
INV000044,2024-01-09,125498,LUMPSUM,308582
INV004672,2024-01-09,102886,LUMPSUM,443932
INV001287,2024-01-09,120506,SIP,4216
INV004852,2024-01-09,119092,SIP,498
INV001881,2024-01-09,120505,SIP,29130
INV000608,2024-01-09,119092,SIP,14394
INV002030,2024-01-09,119552,REDEMPTION,508939
INV003171,2024-01-09,102885,SIP,8539
INV002101,2024-01-09,119599,SIP,1651
INV000818,2024-01-09,101206,REDEMPTION,317854
INV002951,2024-01-09,120503,LUMPSUM,243569
INV002490,2024-01-09,100016,SIP,6591
INV002690,2024-01-09,100033,REDEMPTION,240839
INV002168,2024-01-09,118632,SIP,9383
INV003544,2024-01-09,118635,SIP,28671
INV000463,2024-01-09,120844,SIP,451
INV002958,2024-01-09,118636,LUMPSUM,81990
INV002069,2024-01-09,100025,SIP,50812
INV000167,2024-01-09,118632,SIP,4859
INV001579,2024-01-09,120843,SIP,2446
INV001692,2024-01-09,119599,SIP,4921
INV004080,2024-01-09,119120,LUMPSUM,242739
INV004957,2024-01-09,102887,SIP,2190
INV000293,2024-01-09,125497,SIP,17150
INV000630,2024-01-09,118634,REDEMPTION,364446
INV001765,2024-01-09,120841,LUMPSUM,97105
INV000578,2024-01-09,101207,LUMPSUM,115684
INV000367,2024-01-09,148567,SIP,6893
INV002223,2024-01-09,118632,SIP,14814
INV002520,2024-01-09,120503,LUMPSUM,354499
INV001410,2024-01-09,120507,LUMPSUM,204366
INV003815,2024-01-09,119598,LUMPSUM,591598
INV001701,2024-01-09,102885,REDEMPTION,49289
INV002950,2024-01-09,101208,LUMPSUM,423091
INV004380,2024-01-09,120507,REDEMPTION,413580
INV000960,2024-01-09,120506,SIP,808
INV001259,2024-01-09,120506,LUMPSUM,290394
INV000432,2024-01-09,100016,LUMPSUM,208366
INV002107,2024-01-09,100033,SIP,24487
INV000313,2024-01-09,119093,LUMPSUM,92005
INV002570,2024-01-09,149323,LUMPSUM,497379
INV004253,2024-01-09,120503,LUMPSUM,307911
INV003787,2024-01-09,118636,SIP,7284
INV001013,2024-01-09,100025,SIP,10012
INV001064,2024-01-09,102887,SIP,29058
INV002584,2024-01-09,119552,SIP,22012
INV004932,2024-01-09,120841,LUMPSUM,352318
INV004058,2024-01-09,118632,SIP,2250
INV001480,2024-01-09,148567,SIP,12372
INV003973,2024-01-09,149322,REDEMPTION,180481
INV001228,2024-01-09,118632,REDEMPTION,199032
INV000659,2024-01-09,118636,SIP,409
INV001006,2024-01-09,120504,SIP,41669
INV002772,2024-01-09,101207,SIP,4196
INV004741,2024-01-09,120503,LUMPSUM,312903
INV000129,2024-01-09,148569,LUMPSUM,172590
INV004638,2024-01-09,118636,LUMPSUM,429333
INV004513,2024-01-09,102885,SIP,2476
INV002739,2024-01-09,125497,SIP,40730
INV000082,2024-01-09,125497,SIP,2172
INV000059,2024-01-10,148568,SIP,1764
INV003485,2024-01-10,148569,LUMPSUM,300613
INV003974,2024-01-10,118636,SIP,14754
INV004441,2024-01-10,125498,SIP,2935
INV001455,2024-01-10,100025,SIP,7465
INV001680,2024-01-10,120841,SIP,9658
INV003803,2024-01-10,101206,LUMPSUM,127751
INV002379,2024-01-10,119092,SIP,4723
INV001680,2024-01-10,120503,LUMPSUM,449350
INV004717,2024-01-10,120841,REDEMPTION,278427
INV004581,2024-01-10,101207,SIP,4666
INV001398,2024-01-10,100025,SIP,982
INV002335,2024-01-10,100033,SIP,588
INV004817,2024-01-10,149322,SIP,2330
INV004588,2024-01-10,118633,LUMPSUM,262725
INV002790,2024-01-10,102886,LUMPSUM,113021
INV000009,2024-01-10,101207,LUMPSUM,221876
INV001472,2024-01-10,102886,SIP,416
INV000047,2024-01-10,119094,SIP,14078
INV004290,2024-01-10,120843,SIP,2094
INV001778,2024-01-10,120843,SIP,13966
INV003267,2024-01-10,100016,SIP,8062
INV001679,2024-01-10,118632,SIP,2146
INV003581,2024-01-10,102887,LUMPSUM,25869
