investor_id,avg_gap,total_sips,at_risk
INV000087,92.8,6,True
INV000088,9.0,2,False
INV000089,121.33333333333333,4,True
INV000090,145.5,3,True
INV000091,44.0,8,True
INV000092,7.5,3,False
INV000093,55.5,7,True
INV000094,44.8,6,True
INV000095,69.4,6,True
INV000096,2.0,2,False
INV000097,54.5,7,True
INV000098,51.25,5,True
INV000099,91.75,5,True
INV000100,215.0,3,True
INV000101,65.0,8,True
INV000102,65.28571428571429,8,True
INV000103,83.4,6,True
INV000104,115.0,5,True
INV000105,57.0,8,True
INV000106,112.0,2,True
INV000107,100.0,3,True
INV000108,70.0,3,True
INV000109,46.25,9,True
INV000110,122.0,3,True
INV000111,,1,False
INV000112,120.5,3,True
INV000113,46.0,8,True
INV000114,,1,False
INV000115,140.33333333333334,4,True
INV000116,157.5,3,True
INV000117,117.33333333333333,4,True
INV000118,50.5,5,True
INV000119,142.0,2,True
INV000120,117.5,3,True
INV000121,170.0,2,True
INV000122,,1,False
INV000123,59.666666666666664,7,True
INV000124,144.66666666666666,4,True
INV000125,85.75,5,True
INV000126,,1,False
INV000127,,1,False
INV000128,82.0,6,True
INV000129,108.5,5,True
INV000130,170.0,2,True
INV000131,56.0,7,True
INV000132,71.0,6,True
INV000133,88.2,6,True
INV000134,87.0,3,True
INV000135,120.0,3,True
INV000136,,1,False
INV000137,81.33333333333333,4,True
INV000138,76.2,6,True
INV000139,,1,False
INV000140,157.0,2,True
INV000141,,1,False
INV000143,102.66666666666667,4,True
INV000144,182.5,3,True
INV000145,89.4,6,True
INV000146,66.8,6,True
INV000147,116.0,4,True
INV000148,52.0,9,True
INV000150,100.75,5,True
INV000151,136.5,3,True
INV000152,,1,False
INV000153,44.0,4,True
INV000154,64.0,5,True
INV000155,37.333333333333336,7,True
INV000156,159.66666666666666,4,True
INV000158,103.0,5,True
INV000159,201.0,3,True
INV000160,37.0,3,True
INV000161,73.0,7,True
INV000162,435.0,2,True
INV000163,61.0,8,True
INV000164,61.8,6,True
INV000165,141.66666666666666,4,True
INV000166,166.0,4,True
INV000167,97.5,5,True
INV000168,,1,False
INV000169,67.83333333333333,7,True
INV000170,18.0,2,False
INV000171,98.0,2,True
INV000172,133.33333333333334,4,True
INV000173,57.666666666666664,7,True
INV000174,119.5,5,True
INV000175,83.66666666666667,7,True
INV000176,201.5,3,True
INV000177,65.42857142857143,8,True
INV000178,230.0,2,True
INV000179,39.75,5,True
INV000180,61.8,6,True
INV000181,160.5,3,True
INV000182,70.5,5,True
INV000183,56.125,9,True
INV000184,,1,False
INV000185,196.0,2,True
INV000189,153.5,3,True
INV000190,55.0,5,True
INV000191,56.5,7,True
INV000192,99.75,5,True
INV000193,155.33333333333334,4,True
INV000194,58.0,7,True
INV000195,77.4,6,True
INV000196,69.0,7,True
INV000197,,1,False
INV000198,,1,False
INV000199,65.0,4,True
INV000200,113.66666666666667,4,True
INV000201,51.125,9,True
INV000202,348.0,2,True
INV000203,42.75,5,True
INV000204,48.0,2,True
INV000205,62.57142857142857,8,True
INV000206,,1,False
INV000207,95.0,5,True
INV000208,,1,False
INV000209,,1,False
INV000210,70.71428571428571,8,True
INV000211,116.0,5,True
INV000212,,1,False
INV000213,90.0,4,True
INV000214,94.8,6,True
INV000215,109.25,5,True
INV000216,61.333333333333336,4,True
INV000217,92.0,6,True
INV000218,,1,False
INV000219,126.0,3,True
INV000220,100.75,5,True
INV000221,34.75,5,False
INV000222,39.666666666666664,4,True
INV000223,114.75,5,True
INV000224,74.66666666666667,4,True
INV000225,125.33333333333333,4,True
INV000226,84.33333333333333,4,True
INV000227,108.0,3,True
INV000228,59.75,9,True
INV000229,67.75,5,True
INV000230,60.75,5,True
INV000231,47.0,5,True
INV000232,,1,False
INV000233,,1,False
INV000234,121.75,5,True
INV000235,74.33333333333333,4,True
INV000236,67.14285714285714,8,True
INV000237,,1,False
INV000238,93.6,6,True
INV000239,48.857142857142854,8,True
INV000240,,1,False
INV000241,110.5,3,True
INV000242,62.5,3,True
INV000243,88.2,6,True
INV000244,23.333333333333332,4,False
INV000245,92.2,6,True
INV000246,92.33333333333333,4,True
INV000248,,1,False
INV000249,45.5,7,True
INV000251,223.0,2,True
INV000252,50.4,6,True
INV000253,,1,False
INV000254,249.0,2,True
INV000255,48.6,6,True
INV000256,70.2,6,True
INV000257,93.25,5,True
INV000258,,1,False
INV000259,70.6,6,True
INV000260,59.57142857142857,8,True
INV000261,131.33333333333334,4,True
INV000262,53.57142857142857,8,True
INV000263,68.42857142857143,8,True
INV000264,,1,False
INV000265,53.44444444444444,10,True
INV000266,101.0,4,True
INV000267,86.75,5,True
INV000268,62.333333333333336,7,True
INV000269,180.0,2,True
INV000270,130.0,2,True
INV000271,342.0,2,True
INV000272,96.33333333333333,4,True
INV000273,,1,False
INV000274,100.75,5,True
INV000275,17.0,2,False
INV000276,80.0,4,True
INV000277,,1,False
INV000278,354.0,2,True
INV000279,43.375,9,True
INV000280,55.75,9,True
INV000281,,1,False
INV000282,53.0,2,True
INV000283,68.0,6,True
INV000284,58.0,4,True
INV000285,140.0,2,True
INV000286,115.0,5,True
INV000287,69.83333333333333,7,True
INV000288,114.25,5,True
INV000289,62.714285714285715,8,True
INV000290,,1,False
INV000291,89.0,6,True
INV000292,46.0,7,True
INV000293,47.0,7,True
INV000294,54.5,5,True
INV000295,8.0,2,False
INV000296,158.0,2,True
INV000297,90.6,6,True
INV000298,92.5,5,True
INV000299,85.2,6,True
INV000300,76.5,3,True
INV000301,68.5,5,True
INV000302,,1,False
INV000303,209.0,3,True
INV000304,70.0,7,True
INV000305,55.0,4,True
INV000306,76.0,3,True
INV000307,162.0,2,True
INV000308,117.0,5,True
INV000309,52.0,8,True
INV000310,75.83333333333333,7,True
INV000311,152.0,3,True
INV000312,119.75,5,True
INV000313,310.0,2,True
INV000314,69.0,4,True
INV000315,75.66666666666667,4,True
INV000316,86.75,5,True
INV000317,146.33333333333334,4,True
INV000318,97.4,6,True
INV000319,73.5,7,True
INV000320,70.0,5,True
INV000321,72.83333333333333,7,True
INV000322,121.0,3,True
INV000323,67.0,3,True
INV000325,227.0,2,True
INV000326,154.5,3,True
INV000327,50.0,2,True
INV000328,37.5,9,True
INV000329,88.66666666666667,4,True
INV000330,137.0,4,True
INV000331,50.714285714285715,8,True
INV000332,27.333333333333332,4,False
INV000333,150.33333333333334,4,True
INV000334,25.5,7,False
INV000335,96.0,6,True
INV000336,150.0,2,True
INV000337,103.5,5,True
INV000338,,1,False
INV000339,94.0,6,True
INV000340,32.0,5,False
INV000341,54.42857142857143,8,True
INV000342,,1,False
INV000343,248.0,2,True
INV000344,30.5,5,False
INV000345,,1,False
INV000346,,1,False
INV000347,,1,False
INV000348,284.0,2,True
INV000349,106.33333333333333,4,True
INV000350,85.0,2,True
INV000351,86.5,5,True
INV000352,80.75,5,True
INV000353,,1,False
INV000354,234.5,3,True
INV000355,,1,False
INV000356,54.4,6,True
INV000357,85.5,3,True
INV000358,,1,False
INV000359,54.125,9,True
INV000360,122.0,5,True
INV000361,98.0,3,True
INV000363,77.0,7,True
INV000364,94.5,3,True
INV000366,82.0,4,True
INV000367,56.333333333333336,4,True
INV000368,,1,False
INV000369,43.8,6,True
INV000370,116.75,5,True
INV000371,59.285714285714285,8,True
INV000372,54.5,7,True
INV000373,48.0,2,True
INV000374,127.66666666666667,4,True
INV000376,,1,False
INV000377,75.25,5,True
INV000378,117.5,3,True
INV000379,44.0,3,True
INV000380,97.0,6,True
INV000381,,1,False
INV000382,,1,False
INV000383,107.25,5,True
INV000384,78.25,5,True
INV000385,92.66666666666667,4,True
INV000386,,1,False
INV000387,103.0,3,True
INV000388,53.625,9,True
INV000389,127.5,3,True
INV000390,135.5,3,True
INV000391,,1,False
INV000392,77.16666666666667,7,True
INV000393,43.0,2,True
INV000394,90.0,5,True
INV000395,55.666666666666664,7,True
INV000396,83.2,6,True
INV000397,128.0,4,True
INV000399,49.55555555555556,10,True
INV000400,62.6,6,True
INV000401,21.333333333333332,4,False
INV000402,94.0,4,True
INV000403,58.2,6,True
INV000404,,1,False
INV000405,65.0,2,True
INV000406,,1,False
INV000407,82.4,6,True
INV000408,46.8,6,True
INV000409,375.0,2,True
INV000410,92.25,5,True
INV000411,67.0,4,True
INV000412,43.714285714285715,8,True
INV000413,102.5,5,True
INV000414,66.28571428571429,8,True
INV000415,66.16666666666667,7,True
INV000416,119.0,2,True
INV000417,104.33333333333333,4,True
INV000418,86.8,6,True
INV000419,112.0,3,True
INV000420,,1,False
INV000421,91.66666666666667,4,True
INV000422,,1,False
INV000423,187.5,3,True
INV000424,,1,False
INV000425,39.5,3,True
INV000426,39.0,2,True
INV000427,68.5,7,True
INV000428,52.142857142857146,8,True
INV000429,77.2,6,True
INV000430,148.66666666666666,4,True
INV000431,86.25,5,True
INV000432,216.0,3,True
INV000433,66.5,5,True
INV000434,,1,False
INV000435,,1,False
INV000436,73.0,5,True
INV000437,97.8,6,True
INV000438,184.0,2,True
INV000439,24.25,5,False
INV000440,69.57142857142857,8,True
INV000441,60.8,6,True
INV000442,217.5,3,True
INV000443,373.0,2,True
INV000444,73.2,6,True
INV000445,57.75,9,True
INV000446,38.6,6,True
INV000449,46.8,6,True
INV000450,,1,False
INV000452,49.375,9,True
INV000453,98.0,4,True
INV000454,232.5,3,True
INV000455,75.0,2,True
INV000456,45.25,5,True
INV000457,91.4,6,True
INV000458,81.75,5,True
INV000459,82.0,4,True
INV000460,43.4,6,True
INV000461,67.5,3,True
INV000462,79.0,2,True
INV000463,65.16666666666667,7,True
INV000465,102.66666666666667,4,True
INV000466,73.33333333333333,7,True
INV000467,56.666666666666664,10,True
INV000468,,1,False
INV000469,70.5,7,True
INV000470,401.0,2,True
INV000471,121.0,3,True
INV000472,,1,False
INV000473,105.0,4,True
INV000474,103.5,5,True
INV000475,90.0,2,True
INV000476,10.0,3,False
INV000477,,1,False
INV000478,61.0,2,True
INV000479,99.0,2,True
INV000480,105.0,5,True
INV000481,156.33333333333334,4,True
INV000482,133.5,3,True
INV000483,70.42857142857143,8,True
INV000484,,1,False
INV000485,138.66666666666666,4,True
INV000487,88.25,5,True
INV000488,102.33333333333333,4,True
INV000489,66.0,4,True
INV000490,231.0,2,True
INV000491,95.0,6,True
INV000492,145.33333333333334,4,True
INV000493,47.55555555555556,10,True
INV000494,74.0,4,True
INV000495,24.75,5,False
INV000496,81.25,5,True
INV000497,71.83333333333333,7,True
INV000498,,1,False
INV000499,77.83333333333333,7,True
INV000500,133.0,3,True
INV000501,100.5,3,True
INV000502,,1,False
INV000503,,1,False
INV000504,,1,False
INV000505,93.33333333333333,4,True
INV000506,71.5,3,True
INV000507,70.16666666666667,7,True
INV000509,61.0,3,True
INV000510,190.0,2,True
INV000511,132.66666666666666,4,True
INV000512,54.75,9,True
INV000513,103.0,2,True
INV000514,100.66666666666667,4,True
INV000516,,1,False
INV000517,20.0,3,False
INV000518,,1,False
INV000519,108.0,3,True
INV000520,64.5,3,True
INV000521,70.0,3,True
INV000522,100.8,6,True
INV000523,92.25,5,True
INV000524,55.0,7,True
INV000525,68.75,5,True
INV000526,47.5,3,True
INV000527,50.8,6,True
INV000528,,1,False
INV000529,59.2,6,True
INV000530,104.0,3,True
INV000531,47.0,7,True
INV000532,73.0,5,True
INV000533,148.0,4,True
INV000534,,1,False
INV000535,154.0,4,True
INV000536,25.0,2,False
INV000537,200.0,2,True
INV000538,39.5,3,True
INV000539,77.0,7,True
INV000540,73.5,7,True
INV000541,56.0,2,True
INV000542,164.33333333333334,4,True
INV000543,83.66666666666667,7,True
INV000544,99.33333333333333,4,True
INV000545,80.6,6,True
INV000546,55.0,9,True
INV000547,55.8,6,True
INV000548,133.66666666666666,4,True
INV000549,96.2,6,True
INV000550,149.0,4,True
INV000551,160.0,3,True
INV000552,116.0,5,True
INV000553,72.0,6,True
INV000554,70.2,6,True
INV000555,58.0,2,True
INV000556,52.42857142857143,8,True
INV000557,102.5,5,True
INV000558,74.66666666666667,4,True
INV000559,50.0,3,True
INV000560,62.0,3,True
INV000561,,1,False
INV000562,74.4,6,True
INV000563,76.33333333333333,7,True
INV000564,162.0,2,True
INV000565,181.0,2,True
INV000566,35.0,7,False
INV000567,63.8,6,True
INV000568,62.4,6,True
INV000569,77.75,5,True
INV000570,67.28571428571429,8,True
INV000571,,1,False
INV000572,224.0,3,True
INV000573,50.833333333333336,7,True
INV000574,6.0,2,False
INV000575,71.6,6,True
INV000576,76.0,5,True
INV000577,32.25,5,False
INV000578,66.83333333333333,7,True
INV000579,,1,False
INV000580,55.75,5,True
INV000581,78.33333333333333,7,True
INV000583,32.5,3,False
INV000584,111.75,5,True
INV000585,74.0,5,True
INV000586,44.5,7,True
INV000587,49.5,5,True
INV000588,,1,False
INV000589,59.125,9,True
INV000590,114.0,3,True
INV000591,64.5,7,True
INV000592,109.66666666666667,4,True
INV000593,74.2,6,True
INV000594,,1,False
INV000595,104.25,5,True
INV000596,51.75,9,True
INV000597,88.6,6,True
INV000598,124.33333333333333,4,True
INV000599,81.5,7,True
INV000600,148.0,4,True
INV000601,73.5,5,True
INV000602,103.0,5,True
INV000603,132.66666666666666,4,True
INV000604,127.66666666666667,4,True
INV000605,,1,False
INV000606,98.66666666666667,4,True
INV000607,66.66666666666667,7,True
INV000608,100.2,6,True
INV000609,47.0,6,True
INV000611,86.5,5,True
INV000612,49.3,11,True
INV000613,236.0,2,True
INV000614,3.0,2,False
INV000615,55.833333333333336,7,True
INV000616,123.0,5,True
INV000617,,1,False
INV000618,7.0,2,False
INV000619,45.0,5,True
INV000620,,1,False
INV000621,350.0,2,True
INV000622,89.5,5,True
INV000623,122.66666666666667,4,True
INV000624,31.666666666666668,7,False
INV000625,86.4,6,True
INV000626,116.5,3,True
INV000627,,1,False
INV000628,304.0,2,True
INV000629,113.33333333333333,4,True
INV000630,68.66666666666667,7,True
INV000631,54.0,6,True
INV000632,,1,False
INV000633,107.75,5,True
INV000634,52.25,9,True
INV000635,75.0,6,True
INV000636,56.0,3,True
INV000637,38.0,3,True
INV000638,165.66666666666666,4,True
INV000639,84.0,3,True
INV000640,,1,False
INV000641,54.8,6,True
INV000642,53.5,9,True
INV000643,103.0,4,True
INV000644,11.333333333333334,4,False
INV000645,66.0,6,True
INV000646,62.333333333333336,7,True
INV000647,,1,False
INV000648,65.33333333333333,4,True
INV000649,92.25,5,True
INV000650,217.0,3,True
INV000651,94.0,6,True
INV000652,93.8,6,True
INV000653,164.0,2,True
INV000654,,1,False
INV000656,141.0,3,True
INV000657,64.71428571428571,8,True
INV000658,94.75,5,True
INV000659,166.66666666666666,4,True
INV000660,52.5,5,True
INV000661,105.75,5,True
INV000662,66.14285714285714,8,True
INV000663,94.4,6,True
INV000664,91.66666666666667,4,True
INV000665,36.22222222222222,10,True
INV000666,77.25,5,True
INV000667,68.0,6,True
INV000668,254.0,3,True
INV000669,,1,False
INV000670,99.0,3,True
INV000671,125.0,4,True
INV000672,33.0,2,False
INV000673,92.8,6,True
INV000674,,1,False
INV000675,62.8,6,True
INV000676,35.3,11,True
INV000677,,1,False
INV000678,63.333333333333336,7,True
INV000679,68.0,3,True
INV000680,158.0,2,True
INV000681,137.5,3,True
INV000682,374.0,2,True
INV000683,54.5,9,True
INV000684,201.5,3,True
INV000685,,1,False
INV000686,,1,False
INV000687,177.0,3,True
INV000688,81.0,2,True
INV000689,74.25,5,True
INV000690,56.285714285714285,8,True
INV000691,66.4,6,True
INV000692,,1,False
INV000693,378.0,2,True
INV000695,86.5,5,True
INV000696,104.66666666666667,4,True
INV000698,52.25,9,True
INV000699,42.8,6,True
INV000700,60.5,3,True
INV000701,83.66666666666667,7,True
INV000702,287.0,2,True
INV000703,173.0,3,True
INV000704,101.25,5,True
INV000705,247.0,2,True
INV000706,93.5,5,True
INV000707,34.375,9,False
INV000708,131.66666666666666,4,True
INV000709,65.16666666666667,7,True
INV000710,88.6,6,True
INV000711,130.66666666666666,4,True
INV000713,114.5,3,True
INV000714,37.0,9,True
INV000715,58.75,5,True
INV000716,,1,False
INV000717,155.33333333333334,4,True
INV000718,57.833333333333336,7,True
INV000719,72.83333333333333,7,True
INV000720,123.75,5,True
INV000721,52.0,4,True
INV000722,114.0,3,True
INV000723,108.25,5,True
INV000724,81.2,6,True
INV000725,67.66666666666667,7,True
INV000726,151.0,2,True
INV000727,13.0,3,False
INV000728,37.75,5,True
INV000729,146.33333333333334,4,True
INV000730,,1,False
INV000731,19.0,2,False
INV000732,82.0,4,True
INV000733,355.0,2,True
INV000734,64.0,8,True
INV000735,143.33333333333334,4,True
INV000736,99.75,5,True
INV000737,92.6,6,True
INV000738,53.666666666666664,4,True
INV000739,68.66666666666667,4,True
INV000740,,1,False
INV000741,89.75,5,True
INV000742,91.33333333333333,4,True
INV000743,158.0,3,True
INV000744,76.33333333333333,4,True
INV000745,144.0,4,True
INV000746,209.0,2,True
INV000747,84.6,6,True
INV000748,175.0,2,True
INV000749,111.25,5,True
INV000750,26.5,9,False
INV000751,53.0,9,True
INV000752,197.0,3,True
INV000753,134.5,3,True
INV000754,72.33333333333333,7,True
INV000755,120.0,3,True
INV000756,78.0,4,True
INV000757,208.5,3,True
INV000758,113.5,5,True
INV000759,83.0,7,True
INV000760,148.0,2,True
INV000761,75.16666666666667,7,True
INV000762,118.0,2,True
INV000763,,1,False
INV000764,100.75,5,True
INV000765,99.33333333333333,4,True
INV000766,177.5,3,True
INV000767,123.5,3,True
INV000768,60.0,8,True
INV000769,85.75,5,True
INV000770,,1,False
INV000771,121.66666666666667,4,True
INV000772,46.0,6,True
INV000774,73.66666666666667,7,True
INV000775,73.33333333333333,4,True
INV000776,59.42857142857143,8,True
INV000777,66.0,6,True
INV000778,59.714285714285715,8,True
INV000779,75.0,6,True
INV000780,,1,False
INV000781,83.0,4,True
INV000782,42.5,5,True
INV000783,89.8,6,True
INV000784,435.0,2,True
INV000785,32.6,6,False
INV000786,64.125,9,True
INV000787,,1,False
INV000788,105.0,4,True
INV000789,55.142857142857146,8,True
INV000790,,1,False
INV000791,107.0,4,True
INV000792,271.0,2,True
INV000793,69.14285714285714,8,True
INV000794,,1,False
INV000795,,1,False
INV000796,146.5,3,True
INV000797,156.0,4,True
INV000798,,1,False
INV000799,121.25,5,True
INV000800,144.66666666666666,4,True
INV000801,107.0,3,True
INV000802,,1,False
INV000803,77.16666666666667,7,True
INV000804,160.5,3,True
INV000806,83.0,4,True
INV000808,208.0,3,True
INV000809,120.66666666666667,4,True
INV000810,85.5,5,True
INV000811,291.0,2,True
INV000813,121.33333333333333,4,True
INV000814,94.0,6,True
INV000815,266.0,2,True
INV000816,149.5,3,True
INV000818,422.0,2,True
INV000819,87.5,3,True
INV000820,207.0,2,True
INV000821,53.0,2,True
INV000822,55.5,7,True
INV000823,39.666666666666664,7,True
INV000824,211.0,3,True
INV000825,127.0,3,True
INV000826,214.0,3,True
INV000827,58.285714285714285,8,True
INV000828,,1,False
INV000829,117.75,5,True
INV000830,72.2,6,True
INV000831,67.5,5,True
INV000832,251.0,2,True
INV000833,67.28571428571429,8,True
INV000834,130.0,3,True
INV000835,,1,False
INV000836,84.8,6,True
INV000837,,1,False
INV000838,176.0,2,True
INV000839,,1,False
INV000840,191.0,3,True
INV000841,176.0,3,True
INV000842,,1,False
INV000843,55.6,6,True
INV000844,66.16666666666667,7,True
INV000845,105.5,3,True
INV000846,181.0,3,True
INV000847,47.8,6,True
INV000848,,1,False
INV000849,61.333333333333336,4,True
INV000850,41.5,3,True
INV000851,83.75,5,True
INV000852,215.0,3,True
INV000853,49.333333333333336,10,True
INV000854,61.25,9,True
INV000855,229.0,3,True
INV000856,78.25,5,True
INV000857,19.0,4,False
INV000858,44.875,9,True
INV000859,264.0,2,True
INV000860,106.75,5,True
INV000861,106.75,5,True
INV000862,91.2,6,True
INV000863,,1,False
INV000864,40.8,6,True
INV000865,45.75,9,True
INV000866,,1,False
INV000867,234.0,2,True
INV000868,,1,False
INV000869,65.4,6,True
INV000870,68.0,5,True
INV000871,,1,False
INV000872,,1,False
INV000873,73.5,7,True
INV000874,62.125,9,True
INV000875,,1,False
INV000876,48.666666666666664,4,True
INV000877,59.4,6,True
INV000878,66.0,2,True
INV000879,85.0,3,True
INV000880,141.33333333333334,4,True
INV000881,46.111111111111114,10,True
INV000882,,1,False
INV000883,257.0,2,True
INV000884,38.0,2,True
INV000885,108.75,5,True
INV000886,,1,False
INV000887,65.66666666666667,7,True
INV000888,80.33333333333333,7,True
INV000889,263.0,2,True
INV000890,24.5,3,False
INV000891,126.66666666666667,4,True
INV000892,182.0,3,True
INV000893,59.5,7,True
INV000894,55.0,6,True
INV000895,204.5,3,True
INV000896,173.0,2,True
INV000897,124.5,3,True
INV000898,5.0,2,False
INV000899,,1,False
INV000900,131.0,2,True
INV000901,54.0,6,True
INV000902,73.0,5,True
INV000904,197.0,3,True
INV000905,,1,False
INV000906,143.5,3,True
INV000907,59.2,6,True
INV000908,37.333333333333336,4,True
INV000909,131.0,4,True
INV000910,88.25,5,True
INV000911,,1,False
INV000912,116.66666666666667,4,True
INV000913,152.66666666666666,4,True
INV000914,107.0,5,True
INV000915,130.33333333333334,4,True
INV000916,,1,False
INV000918,56.0,2,True
INV000919,110.0,3,True
INV000920,75.6,6,True
INV000921,290.0,2,True
INV000922,100.0,4,True
INV000923,,1,False
INV000924,,1,False
INV000925,107.5,3,True
INV000926,80.0,6,True
INV000927,36.75,5,True
INV000928,,1,False
INV000929,58.166666666666664,7,True
INV000930,32.42857142857143,8,False
INV000931,86.25,5,True
INV000933,199.0,3,True
INV000934,59.0,2,True
INV000935,30.875,9,False
INV000936,,1,False
INV000937,,1,False
INV000938,153.0,2,True
INV000939,60.57142857142857,8,True
INV000940,,1,False
INV000941,455.0,2,True
INV000942,53.0,7,True
INV000943,,1,False
INV000944,165.0,3,True
INV000945,,1,False
INV000946,129.0,3,True
INV000947,127.33333333333333,4,True
INV000948,17.0,2,False
INV000949,67.5,7,True
INV000950,91.0,6,True
INV000951,,1,False
INV000953,141.5,3,True
INV000954,126.75,5,True
INV000955,186.5,3,True
INV000956,,1,False
INV000957,114.66666666666667,4,True
INV000958,164.0,3,True
INV000959,48.0,5,True
INV000960,110.5,3,True
INV000961,151.66666666666666,4,True
INV000962,86.0,5,True
INV000963,138.0,3,True
INV000964,59.0,2,True
INV000965,,1,False
INV000966,119.0,2,True
INV000967,47.0,2,True
INV000968,302.0,2,True
INV000969,88.33333333333333,4,True
INV000970,41.0,4,True
INV000971,46.833333333333336,7,True
INV000972,62.0,5,True
INV000974,73.5,7,True
INV000975,,1,False
INV000977,48.77777777777778,10,True
INV000978,93.66666666666667,4,True
INV000979,79.8,6,True
INV000980,44.42857142857143,8,True
INV000981,50.4,6,True
INV000982,42.0,3,True
INV000983,94.33333333333333,4,True
INV000984,89.33333333333333,4,True
INV000985,149.5,3,True
INV000986,60.833333333333336,7,True
INV000987,132.0,2,True
INV000988,,1,False
INV000989,249.0,3,True
INV000990,133.0,4,True
INV000991,,1,False
INV000992,138.66666666666666,4,True
INV000993,,1,False
INV000994,63.8,6,True
INV000995,18.0,4,False
INV000997,85.0,4,True
INV000998,52.666666666666664,4,True
INV000999,66.75,5,True
INV001001,60.285714285714285,8,True
INV001002,41.666666666666664,7,True
INV001003,138.0,2,True
INV001004,93.0,3,True
INV001005,93.6,6,True
INV001006,58.0,5,True
INV001007,,1,False
INV001008,64.66666666666667,7,True
INV001009,120.0,3,True
INV001010,,1,False
INV001011,241.5,3,True
INV001012,40.5,5,True
INV001013,96.8,6,True
INV001014,151.0,4,True
INV001015,85.0,2,True
INV001016,170.0,3,True
INV001017,67.0,6,True
INV001019,44.875,9,True
INV001020,54.0,2,True
INV001021,68.66666666666667,7,True
INV001023,72.42857142857143,8,True
INV001024,179.5,3,True
INV001025,38.8,6,True
INV001026,69.4,6,True
INV001027,77.25,5,True
INV001028,85.33333333333333,4,True
INV001029,69.5,5,True
INV001030,,1,False
INV001031,114.0,5,True
INV001032,,1,False
INV001033,,1,False
INV001034,100.0,3,True
INV001035,,1,False
INV001036,164.0,4,True
INV001037,42.0,10,True
INV001038,113.0,2,True
INV001039,66.2,6,True
INV001040,132.0,2,True
INV001041,83.0,7,True
INV001042,117.5,3,True
INV001043,124.25,5,True
INV001044,117.0,2,True
INV001045,69.75,5,True
INV001046,36.0,2,True
INV001047,66.16666666666667,7,True
INV001048,47.0,8,True
INV001049,136.0,4,True
INV001050,130.33333333333334,4,True
INV001051,54.142857142857146,8,True
INV001052,285.0,2,True
INV001053,55.857142857142854,8,True
INV001054,183.0,2,True
INV001055,93.2,6,True
INV001056,,1,False
INV001057,228.0,2,True
INV001058,61.333333333333336,4,True
INV001059,207.0,3,True
INV001060,53.375,9,True
INV001061,51.125,9,True
INV001062,101.5,3,True
INV001063,43.285714285714285,8,True
INV001064,59.5,9,True
INV001065,116.0,4,True
INV001066,32.0,2,False
INV001067,187.5,3,True
INV001068,102.66666666666667,4,True
INV001069,41.285714285714285,8,True
INV001070,97.0,6,True
INV001071,23.0,2,False
INV001072,128.0,2,True
INV001073,7.0,3,False
INV001074,68.75,5,True
INV001075,76.5,5,True
INV001076,298.0,2,True
INV001077,112.5,3,True
INV001079,111.5,5,True
INV001080,37.0,4,True
INV001081,395.0,2,True
INV001082,113.66666666666667,4,True
INV001083,70.0,4,True
INV001084,,1,False
INV001085,155.0,2,True
INV001086,112.0,2,True
INV001087,95.25,5,True
INV001088,72.33333333333333,4,True
